SUMMARY OF ALL EPFL LABS (AS PER 13.01.2013),,,,,,,
,,,,,,,
key:,,,,,,,
,Labs,,,,,,
,Labs with interinstitutional link,,link indicated where possible,,,,
,,,,,,,
,,,,,,,
ABBREV,FULL NAME,,PI,"INTER
INSTITUTIONAL LINK",,,
,,,,,,,
SCHOOL OF BASIC SCIENCES,,,,,,,
,,,,,,,
LSYM,Laboratory of Synaptic Mechanisms,,Schneggenburger Ralf,,,,
UPCOURTINE,IRP Chair on Spinal Cord Repair,,Courtine Grégoire,,,,
UPMOORE,Prof. Moore Group,,Moore Darren,,,,
,,,,,,,
IBI-SV,Interschool Institute of Bioengineering (SV),,Swartz Melody,,,,
LBTC,Cellular Biotechnology Laboratory,,Wurm Florian Maria,with sti,,,
LDCS,Stem Cell Dynamics Laboratory,,Barrandon Yann,linked to which school/institution?,,,
LLCB,Laboratory of Lymphatic and Cancer Bioengineering,,Swartz Melody,with sti,,,
LMRP,Merck Serono Chair in Drug Delivery,,Hubbell Jeffrey Alan,with sti,,,
NCEM,Nestlé Chair in Energy Metabolism,,Auwerx Johan,with STI,,,
UPDALPE,Prof. Dal Peraro Group,,Dal Peraro Matteo,linked to which school/institution?,,,
UPDEPLA,Prof. Deplancke Group,,Deplancke Bart,linked to which school/institution?,,,
UPJENSEN,Prof. Jensen Group,,Jensen Jeffrey David,linked to which school/institution?,,,
UPLUT,Prof. Lutolf Group,,Lutolf Matthias,linked to which school/institution?,,,
UPNAE,Prof. Naef Group,,Naef Felix,linked to which school/institution?,,,
,,,,,,,
ISREC,Swiss Institute for Experimental Cancer Research,,Hanahan Douglas,,,,
UPAGU,Prof. Aguet Group,,Aguet Michel,,,,
UPCDA,Prof. Constam Group,,Constam Daniel,,,,
UPGON,Prof. Gönczy Group,,Gönczy Pierre,,,,
UPLIN,Prof. Lingner Group,,Lingner Joachim,,,,
UPBRI,Prof. Brisken Group,,Brisken Cathrin,,,,
CDTSO,Debiopharm Chair in Signal Transduction in Oncogenesis,,Huelsken Joerg,,,,
UPRAD,Prof. Radtke Group,,Radtke Freddy,,,,
UPSIM,Prof. Simanis Group,,Simanis Viesturs,,,,
UPDUB,Prof. Duboule Group,,Duboule Denis,,,,
CMSO,Merck Serono Chair in Oncology,,Hanahan Douglas,,,,
UPHAN,ISREC Foundation Chair in Translational Oncology,,Hantschel Oliver,,,,
UPDEPALMA,Prof. De Palma Group,,De Palma Michele,,,,
UPMEYLAN,Prof. Meylan Group,,Meylan Etienne,,,,
,,,,,,,
GHI,Global Health Institute,,Cole Stewart,,,,
LVG,Laboratory of Virology and Genetics,,Trono Didier,,,,
VDG,Prof. van der Goot Group,,van der Goot Gisou,,,,
UPKIN,Prof. McKinney Group,,McKinney John,,,,
UPBLO,Prof. Blokesch Group,,Blokesch Melanie,,,,
UPCOL,Prof. Cole Group,,Cole Stewart,,,,
UPLEM,Prof. Lemaitre Group,,Lemaitre Bruno,,,,
UPHARRIS,Prof. Harris Group,,Harris Nicola,,,,
,,,,,,,
COLLEGE OF MANAGEMENT OF TECHNOLOGY,,,,,,,
,,,,,,,
MTEI,Management of Technology and Entrepreneurship Institute,,Weber Thomas,,,,
CEMI,Chair in Economics and Management of Innovation,,Foray Dominique,,,,
CET,Corporate renewal and Entrepreneurial strategies in Technology Chair,,Wadhwa Anu,,,,
CSI,Corporate Strategy Innovation Chair,,Tucci Christopher,,,,
ENTC,Entrepreneurship and Technology Commercialization Chair,,Gruber Marc,,,,
LEM,"Logistics, Economy and Management Chair",,Wieser Philippe,,,,
MIR,La Poste Chair in Network industry Management & e-governance,,Finger Matthias,,,,
OES,"Chair in Operations, Economics and Strategy",,Weber Thomas,,,,
TOM,Technology and Operations Management,,Seifert Ralf,,,,
,,,,,,,
SFI,Swiss Finance Institute at EPFL,,Filipovic Damir,,,,
CSF,The Swissquote Chair in Quantitative Finance,,Filipovic Damir,,,,
SFI-AT,Chair of Tenure-Track Assistant Prof. Trolle,,Trolle Anders,,,,
SFI-EM,Chair of Full Prof. Morellec,,Morellec Erwan,,,,
